session_id,drag_count,total_rotation_deg,direction_changes,max_rotation_speed_deg_per_sec,interaction_duration_ms,idle_before_first_drag_ms,success,final_rotation_deg,used_mouse,used_touch,behavior_event_count,behavior_moves,behavior_clicks,behavior_drags,behavior_duration,trace_avg_velocity,trace_std_velocity,trace_max_velocity,trace_smoothness,trace_rotation_range,trace_length,avg_rotation_per_ms,avg_rotation_per_drag,label
session_1764006365018_fqypyqafj,1,261.35,9,42145.62,2205.3,1535.0,0,130.68,1,0,58,57,0,0,2.21,0.15222003287225258,0.26235781581708595,1.0261904761904788,0.7921684228276673,130.03,102,0.11850995329433638,261.35,1
session_1764006368610_ir11tme88,1,76.81,4,43897.49,1430.0,5126.8,1,92.27,1,0,34,33,0,0,1.43,0.07439011158094486,0.12914001157880983,0.5353658536585374,0.8856297622486683,37.489999999999995,60,0.05371328671328671,76.81,1
session_1764006450917_n1b1npo5y,1,1012.99,9,42116.16,2219.9,1054.7,0,133.45,1,0,90,89,0,0,2.22,0.10680199217990899,0.2689701978371499,1.43125,0.7880405715629993,133.68,164,0.4563223568629217,1012.99,1
session_1764006454343_mc126j754,1,26.65,29,3447.97,2444.0,4480.9,0,135.47,1,0,82,81,0,0,2.44,0.009565994386122902,0.02115224762159118,0.08941176470588129,0.979285902106314,7.670000000000002,128,0.010904255319148936,26.65,1
session_1764006457879_y392gyf1h,1,573.4,37,35186.3,4855.1,8016.8,0,227.77,1,0,256,255,0,0,4.86,0.03859028733569677,0.09029194652700703,0.7872093023255876,0.9171855329073821,38.39999999999998,200,0.11810261374636978,573.4,1
session_1764006463588_8gg6a9k00,1,333.37,27,52162.24,2141.4,13725.3,0,92.57,1,0,125,124,0,0,2.14,0.09242703638583112,0.17635093822150755,0.8323529411764687,0.8500864559277458,140.28,200,0.15567852806575136,333.37,1
session_1764006466592_in1h4yz9z,1,31.92,0,11216.31,1480.1,16729.5,0,108.54,1,0,24,23,0,0,1.48,0.045200110871497556,0.053459043208894656,0.14520547945205545,0.9492538000850461,15.38000000000001,42,0.02156611039794609,31.92,1
session_1764006469835_iqxl0m11a,1,170.7,10,3391.22,1627.8,19972.3,0,23.18,1,0,48,47,0,0,1.63,0.0360079526463917,0.0608526780650067,0.23975903614457905,0.9426379559355952,27.39,92,0.10486546258754147,170.7,1
session_1764006472280_e1k6gvj6e,1,768.24,3,719337.3,1616.1,22417.7,0,358.4,1,0,35,34,0,0,1.62,1.0957832940619363,7.55972700983324,54.49545454545483,0.1168261556532376,359.67,52,0.47536662335251534,768.24,1
session_1764006474793_huzfsdxmy,1,1013.33,19,46111.37,3820.6,24930.5,0,145.73,1,0,177,176,0,0,3.82,0.06981227147422311,0.1235829913021878,0.904878048780483,0.8900099126999421,117.11999999999999,200,0.26522797466366543,1013.33,1
session_1764006480043_utoesy76f,1,277.44,26,13751.99,2350.0,30179.9,0,70.88,1,0,111,110,0,0,2.35,0.03998074195432244,0.07608010916831544,0.32054794520547997,0.9292988426046491,29.510000000000005,200,0.1180595744680851,277.44,1
session_1764006483384_pxmzqxuw1,2,156.22,19,4683.64,3244.7,33521.7,0,69.86,1,0,148,145,1,0,3.24,0.019643511747241535,0.027697435758767607,0.0944444444444438,0.9730490368127482,35.87,200,0.048146207661725275,78.11,1
session_1764006488222_ito9yevld,1,292.5,47,15597.97,6177.5,38359.3,0,120.45,1,0,234,233,0,0,6.18,0.013001753722702838,0.026518477641588673,0.09066666666666569,0.9741665851914185,13.760000000000005,200,0.04734925131525698,292.5,1
session_1764006495572_ly3imucsp,1,381.36,23,7205.25,3958.0,45709.1,0,180.69,1,0,157,156,0,0,3.96,0.06783142637941915,0.1428987009530477,0.654687500000002,0.8749681832397862,107.46,200,0.09635169277412835,381.36,1
session_1764006502088_a7uokakyp,1,3160.54,49,1538680.16,5921.1,52225.4,0,90.16,1,0,198,197,0,0,5.92,0.2998683359725768,2.785047526154482,37.9108695652172,0.2641974752206021,353.9,200,0.5337758186823394,3160.54,1
session_1764006509075_x513xpfke,1,178.66,0,15499.92,2283.2,59212.6,0,0.83,1,0,37,36,0,0,2.28,0.01911506626965237,0.026827912515720902,0.09756097560975616,0.9738730198227736,42.74,68,0.07824982480728802,178.66,1
session_1764006512218_9tzieui3b,1,1746.7,12,10979.6,7437.0,62355.1,1,44.51,1,0,128,127,0,0,7.44,0.07177984180373123,0.7463225739780833,10.536873156342155,0.5726318922408605,357.2,200,0.23486620949307518,1746.7,1
session_1764006536914_wk3h50pl4,1,819.72,8,324566.33,3632.6,1154.4,1,319.36,1,0,42,41,0,0,3.63,0.022143966764908464,0.04808980813300568,0.18113772455089835,0.9541167104575995,45.25,70,0.22565655453394265,819.72,1
session_1764007054576_wxhful3il,1,952.15,5,32680.38,2530.9,1557.4,1,269.56,1,0,36,35,0,0,2.53,0.055801007588805775,0.09899199479759646,0.3033033033033044,0.9099247353336471,106.58999999999997,68,0.3762100438579161,952.15,1
session_1764007446896_zrctzoxl2,1,932.94,2,3535742.84,2899.8,963.5,0,240.68,1,0,25,24,0,0,2.9,0.08072380042142556,0.11266650476555469,0.38011363636363577,0.8987418923073504,115.74000000000001,46,0.32172563625077594,932.94,1
session_1764007451542_fral7um73,1,54.73,0,950.86,1397.9,5609.0,0,268.05,1,0,16,15,0,0,1.4,0.03065350164318155,0.045605197767154576,0.1453216374269006,0.9563839220916819,25.660000000000025,26,0.039151584519636594,54.73,1
session_1764007453834_xl39u60s1,1,103.27,1,40834.55,1750.2,7900.8,1,220.84,1,0,21,20,0,0,1.75,0.041475981914670536,0.07837386532779367,0.2781538461538468,0.9273221766145359,48.71999999999997,36,0.059004685178836704,103.27,1
session_1764007509448_v8vllzjp3,1,361.8,3,145971.29,2331.0,3698.9,1,179.73,1,0,25,24,0,0,2.33,0.3298122971703712,1.5176148748259888,10.341935483870966,0.397201339251349,352.66,48,0.1552123552123552,361.8,1
session_1764007561188_5dd0x70do,1,952.12,12,70729.68,3246.7,1260.4,0,239.19,1,0,38,37,0,0,3.25,0.05539416521356293,0.1310342880172665,0.5382978723404248,0.8841464936956304,125.37,72,0.2932577694274186,952.12,1
session_1764007565287_dbxhfws7j,1,38.18,1,14755.62,1541.3,5359.7,1,220.91,1,0,23,22,0,0,1.54,0.013953050453370272,0.01914889901626855,0.0703812316715545,0.9812108917207761,18.680000000000007,42,0.024771296957114126,38.18,1
session_1764007709121_bcs6ji4vk,2,262.46,3,9556.15,2720.3,1116.7,0,131.23,1,0,27,24,1,0,2.72,351.11295676420764,2163.853218164335,13689.999999999998,0.00046192508185286565,120.83999999999999,40,0.0964820056611403,131.23,1
session_1764007713063_sxv0wspuo,1,154.08,2,54765.15,1986.8,5058.0,0,145.37,1,0,32,31,0,0,1.99,0.03768372477567775,0.06467651335600018,0.1975903614457831,0.939252427808207,45.59,62,0.07755184215824443,154.08,1
session_1764007716350_j65qfwr2d,1,143.42,4,17123.05,2043.1,8345.2,0,73.66,1,0,26,25,0,0,2.04,0.04326610909876689,0.06754974892682518,0.28208955223880516,0.9367244955143957,71.03,50,0.07019724927805784,143.42,1
session_1764007719329_eiqc49zw9,1,79.5,0,19109.21,1521.4,11324.2,0,33.91,1,0,18,17,0,0,1.52,0.03658939463949775,0.05708490150131447,0.22114803625377608,0.9459978082931275,37.84,32,0.05225450243197055,79.5,1
session_1764007721617_vnl1rvgvq,1,228.95,16,3460.51,3237.3,13611.8,0,143.67,1,0,50,49,0,0,3.24,0.03766455239764813,0.1119579418165391,0.5740298507462692,0.8993145895125852,108.41,90,0.07072251567664412,228.95,1
session_1764007726721_f7eu5fsi6,1,308.86,2,43436.95,3873.0,18716.6,0,57.74,1,0,24,23,0,0,3.87,0.0557383651751783,0.09989872703210197,0.28636363636363643,0.9091746134649483,34.24000000000001,44,0.0797469661760909,308.86,1
session_1764007731446_vtyxdty1f,1,192.99,3,54279.64,1817.4,23441.6,0,89.75,1,0,29,28,0,0,1.82,0.03550017398517583,0.06449803733297182,0.28018292682926815,0.9394099048838387,64.26,56,0.1061901617695609,192.99,1
session_1764007735589_g695w9a7e,1,305.9,1,97662.56,1402.6,27583.8,0,131.0,1,0,21,20,0,0,1.4,0.07469986038061771,0.11023159941093301,0.44255952380952396,0.9007129688351333,97.1,40,0.2180949664908028,305.9,1
session_1764007738013_oisb1k006,1,165.38,2,128.13,1190.6,30007.8,1,49.01,1,0,8,7,0,0,1.19,0.025904648561945985,0.042621981936653945,0.12804878048780483,0.9591203881415541,11.11,14,0.13890475390559381,165.38,1
